Model,Morphology,Operation,Kernel Size,DPSGD,epsilon,true_label,predicted_label,loss,accuracy,f1
NestedUNet,False,,,True,200.0,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0.99286091 1.09531498 1.0059855  1.09078097 1.03647041 0.99629194
 1.18266857 1.04828262 1.05096436 1.02744555 0.99701381 1.00997376
 1.05985844 1.06226289 1.00863457 1.20843709 1.13160706 1.00849152
 1.10065508 1.0068562  0.9852581  0.99316549 0.98948479 0.99349272
 0.99493766 1.02134883 1.04818392 0.99393445 0.99904269 0.99849641
 1.02055669 1.08447278 1.05963886 1.32764339 0.98569465 0.97294337
 0.99763113 1.02234828 1.03298819 1.01761746]",0.5,0.0
NestedUNet,True,close,3,True,200.0,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[1.0159657  1.17445433 1.01154542 1.06696105 1.11225712 1.01278543
 1.06005692 1.0018245  1.10297227 1.03359306 1.0455457  1.01929426
 1.02058768 1.12617373 1.09895551 1.12837315 1.20438159 1.01755261
 1.0647732  1.05853331 1.05357862 0.99873692 1.00067186 0.99940228
 0.998743   1.00811315 1.00378776 0.99968624 1.002213   0.99117428
 1.02436912 1.08178842 1.06039214 1.36362505 0.99100679 0.97827917
 0.99833196 1.02816617 1.03109574 1.02140999]",0.5,0.0
NestedUNet,True,open,3,True,200.0,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[1.04190636 1.04909682 1.05436635 1.04985714 1.03350914 1.14717007
 1.13432705 1.06836772 1.03334689 1.0496912  1.02485776 1.08316028
 1.05902994 1.0229888  1.09150565 1.20273447 1.05981982 1.04423892
 1.03305209 1.04322445 1.04110301 1.02044106 1.0292331  1.02054131
 1.03152335 1.02712715 1.01991296 1.07827961 1.01831055 1.02945352
 1.05324578 1.10575116 1.08427846 1.36768925 1.01784682 1.0091846
 1.02809978 1.04874706 1.04920256 1.04498219]",0.5,0.0
NestedUNet,True,both,3,True,200.0,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[1.07735348 1.10433638 1.17500842 1.00797796 1.0225817  1.02238464
 1.06773722 1.09034777 1.03038263 1.00516331 1.00896311 1.04918897
 1.05326176 1.19460082 1.10114741 1.1398226  1.072451   1.0434233
 1.01951218 1.03563607 1.01357472 1.00275338 1.01166725 1.0021292
 1.00710344 1.01372504 1.00148249 1.06123483 1.0101409  1.00546122
 1.03195965 1.08784509 1.06767702 1.25613606 0.99888498 0.98869681
 1.00779474 1.03988898 1.04538894 1.02765274]",0.5,0.0
NestedUNet,False,,,True,200.0,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[1.28216696 1.03831911 1.04645848 1.14587665 1.12980151 1.0454458
 1.24777389 1.03540039 1.05640209 1.23203409 1.04280484 1.12268269
 1.09039712 1.02062929 1.05268371 1.02818799 1.06663692 1.02398109
 1.05209196 1.07018375 1.03559792 1.03250754 1.03061044 1.03571582
 1.02191186 1.05132067 1.03632879 1.0373342  1.09538174 1.02295887
 1.05647063 1.11767519 1.08074033 1.35074782 1.0221926  1.00792766
 1.02231193 1.05725384 1.06225014 1.05242467]",0.5,0.0
NestedUNet,False,,,True,200.0,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[1.02169919 1.0293225  1.09341979 1.07161856 1.12390113 1.05006075
 1.05058885 1.01598573 1.07505107 1.05854678 1.01621747 1.03367043
 1.01219511 1.19142342 1.02319515 1.11723876 1.03096294 1.03923571
 0.9990111  1.0559113  0.99791008 1.01215541 0.99967021 1.00600815
 1.04774022 1.00091982 1.01494908 1.02517295 0.99548173 1.00392354
 1.01918328 1.07670856 1.05936098 1.29179502 0.99521911 0.98779482
 1.00069225 1.02600217 1.028234   1.02318704]",0.5,0.0
NestedUNet,False,,,True,0.1,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[3.02759838 3.09731913 3.06964684 3.06005454 3.05975103 3.08945751
 3.02092481 3.09243274 3.05483532 3.09427547 3.06234741 3.07255054
 3.0783031  3.10944796 3.06073952 3.0571909  3.04423189 3.0736661
 3.07547903 3.09999704 3.07210875 3.05863714 3.03566742 3.09273863
 3.0524714  3.08074117 3.06073403 3.06631947 3.04381561 3.11720085
 3.05281425 3.08976912 3.07849169 3.05176592 3.05417252 3.05886126
 3.07780957 3.09718132 3.05958676 3.09328032]",0.5,0.0
NestedUNet,True,close,3,True,0.1,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[2.75567579 2.6990664  2.70410633 2.75151682 2.73999214 2.72483444
 2.71271992 2.73470521 2.72057009 2.74827456 2.75266266 2.75235033
 2.7820282  2.76596665 2.70069242 2.75994062 2.74390602 2.75395441
 2.70882893 2.77718139 2.7468555  2.70549464 2.73447728 2.75918031
 2.75488424 2.75242639 2.71492815 2.72370148 2.72845793 2.74103403
 2.73145175 2.71947742 2.71607757 2.71432304 2.72913694 2.72853971
 2.71833467 2.71946979 2.73204184 2.74772263]",0.5,0.0
NestedUNet,True,open,3,True,0.1,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[2.98747063 3.01630878 2.98415589 3.00563622 3.06089091 3.02129602
 2.99780154 2.97597885 3.00545549 3.0335319  3.04894066 2.98808479
 3.04933739 2.98472643 3.0301919  3.0083251  3.0457356  3.02607822
 3.00112581 3.03869939 3.01072121 2.99806213 3.03042459 3.00717831
 2.97146297 3.00711703 3.03163123 3.01387715 3.04429436 3.01812005
 2.97120357 3.02784204 3.02516842 2.97034001 2.96947217 2.99495792
 3.02317691 3.03630924 3.01306319 3.03999424]",0.5,0.0
NestedUNet,True,close,3,True,200.0,"[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","[1.14411652 1.23403716 1.22508919 1.16438949 1.17512965 1.0526408
 1.13839889 1.04801476 1.05023825 1.05691576 1.08965373 1.29564857
 1.05480397 1.06408572 1.03562057 1.05649114 1.07376635 1.05818295
 1.04146791 1.04093122 1.02204752 1.04206443 1.02588391 1.02546263
 1.0460099  1.03143716 1.05902398 1.0334698  1.0399282  1.08712578
 1.07044899 1.12569356 1.10224676 1.27937436 1.02904391 1.01698983
 1.03550386 1.06773746 1.06816614 1.04325199]",0.5,0.0
