Model,Morphology,Operation,Kernel Size,DPSGD,epsilon,loss_mem,loss_non_mem,true_label
NestedUNet,True,close,3,True,200.0,"[0.93008977 0.94119358 1.09711146 0.94849759 0.93590969 0.92662621
 0.94939882 0.90438968 1.01111507 0.95203149 1.12988591 0.97858316
 0.91000313 0.95480371 0.98527026 0.95878351 0.99559271 0.91315132
 0.97722018 1.01756227 1.04762721 0.97775578]","[0.92191935 0.91798282 0.96351093 0.94377488 0.90203351 0.95232153
 0.92015266 0.94081235 0.90171915 0.95647645 0.91734123 0.92205095
 0.90292555 0.89295048 0.90069503 0.90040511 0.94501048 0.96681601
 0.91928577 0.90805256 0.9403888  0.94291759]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,open,3,False,,"[0.85912037 0.85755122 0.82736313 0.90763909 0.90782034 0.82857764
 0.86568147 0.85068351 0.81731051 0.86667895 0.83475316 0.83159423
 0.85493213 0.84772766 0.90342498 0.9958207  0.89616573 0.87696666
 0.85939437 0.82429904 0.81913853 0.83009434]","[0.84647876 0.83364224 0.87234622 0.84884703 0.81810117 0.85531259
 0.844051   0.85900104 0.82570314 0.85627407 0.82201546 0.81672788
 0.81674504 0.82771772 0.81302977 0.81171393 0.8409729  0.87280667
 0.83067447 0.84923393 0.84377468 0.85145116]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,open,3,False,,"[0.81731051 0.86568147 0.85939449 0.94023669 0.84881842 0.86603183
 0.90342498 0.83700049 0.82481366 0.82429904 0.87059754 0.82158649
 0.9958207  0.95453238 0.82857764 0.85960835 0.82474625 0.85716623
 0.84958768 0.87246639 0.86577171 0.88270426]","[0.84647876 0.83364224 0.87234622 0.84884703 0.81810117 0.85531259
 0.844051   0.85900104 0.82570314 0.85627407 0.82201546 0.81672788
 0.81674504 0.82771772 0.81302977 0.81171393 0.8409729  0.87280667
 0.83067447 0.84923393 0.84377468 0.85145116]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,open,3,False,,"[0.85716617 0.83136135 0.9958207  0.82187849 0.83475316 0.82857764
 0.82179123 0.84522516 0.90763909 0.8519727  0.84159762 0.83799964
 0.85939449 0.85449106 0.85493213 0.84608471 0.85755134 0.86667913
 0.86568153 0.89616573 0.94082487 0.83700043]","[0.84647876 0.83364224 0.87234622 0.84884703 0.81810117 0.85531259
 0.844051   0.85900104 0.82570314 0.85627407 0.82201546 0.81672788
 0.81674504 0.82771772 0.81302977 0.81171393 0.8409729  0.87280667
 0.83067447 0.84923393 0.84377468 0.85145116]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,open,3,False,,"[0.83799964 0.84443098 0.82187849 0.85695857 0.83028901 0.83136135
 0.84608471 1.00316441 0.85912037 0.86577171 0.81894928 0.82481366
 0.82736313 0.82179123 0.85716617 0.85939449 0.8452251  0.90342486
 0.83159429 0.82158643 0.85068357 0.87832928]","[0.84647876 0.83364224 0.87234622 0.84884703 0.81810117 0.85531259
 0.844051   0.85900104 0.82570314 0.85627407 0.82201546 0.81672788
 0.81674504 0.82771772 0.81302977 0.81171393 0.8409729  0.87280667
 0.83067447 0.84923393 0.84377468 0.85145116]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,close,3,False,,"[0.82302219 0.86932445 0.86197031 0.96689093 0.85744792 0.8484478
 0.8085162  0.83212483 0.8259154  0.81551307 0.81766665 0.87774879
 0.86174566 0.89543742 0.83086497 0.80519319 0.8489669  0.82547569
 0.79102719 0.81847179 0.82498837 0.84582531]","[0.85346764 0.83653295 0.89640367 0.86207628 0.81835479 0.85108244
 0.84650874 0.83452851 0.8285054  0.88282216 0.8215161  0.81620127
 0.81758368 0.82865888 0.81680405 0.81528389 0.84384608 0.8790496
 0.81763452 0.85413957 0.84076953 0.88280725]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,close,3,False,,"[0.82269746 0.82547575 0.85521972 0.8259154  0.85021347 0.80519319
 0.8484478  0.83702785 0.83505458 0.81909734 0.82621896 0.87184334
 0.94017208 0.89543742 0.99749154 0.82302219 0.81551307 0.86932445
 0.82702523 0.82282144 0.86354864 0.92347336]","[0.85346764 0.83653295 0.89640367 0.86207628 0.81835479 0.85108244
 0.84650874 0.83452851 0.8285054  0.88282216 0.8215161  0.81620127
 0.81758368 0.82865888 0.81680405 0.81528389 0.84384608 0.8790496
 0.81763452 0.85413957 0.84076953 0.88280725]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,close,3,False,,"[0.82621896 0.80815434 0.82824445 0.85521972 0.80143499 0.79102707
 0.85111928 0.88943034 0.83702785 0.89543742 0.8252157  0.80625236
 0.86555719 0.8122921  0.83098328 0.83212483 0.82702523 0.85021353
 0.94017202 0.85499191 0.85558563 0.81551307]","[0.85346764 0.83653295 0.89640367 0.86207628 0.81835479 0.85108244
 0.84650874 0.83452851 0.8285054  0.88282216 0.8215161  0.81620127
 0.81758368 0.82865888 0.81680405 0.81528389 0.84384608 0.8790496
 0.81763452 0.85413957 0.84076953 0.88280725]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,close,3,False,,"[0.99449646 0.82547575 0.87843305 0.85499197 0.83086497 0.82302219
 0.86197031 0.80625236 0.8085162  0.82414794 0.83212483 0.79102707
 0.9355067  0.83505458 0.85247004 0.86555719 0.88943052 0.8081544
 0.82498837 0.82303286 0.85744792 0.92347336]","[0.85346764 0.83653295 0.89640367 0.86207628 0.81835479 0.85108244
 0.84650874 0.83452851 0.8285054  0.88282216 0.8215161  0.81620127
 0.81758368 0.82865888 0.81680405 0.81528389 0.84384608 0.8790496
 0.81763452 0.85413957 0.84076953 0.88280725]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,both,3,False,,"[0.8072142  0.81858051 0.81448817 0.82616353 0.80666727 0.81227469
 0.81947511 0.81231976 0.78557831 0.79206628 0.7866993  0.79216295
 0.80392355 0.81957155 0.81369895 0.81199372 0.8029269  0.80971038
 0.81202286 0.80359149 0.80753458 0.80233526]","[0.85102397 0.83278936 0.88964665 0.84469688 0.82923979 0.86191744
 0.89090395 0.83833706 0.83656454 0.91929036 0.8218208  0.83069873
 0.81220001 0.85795772 0.8085556  0.81265944 0.85334957 0.86459804
 0.82286525 0.85314023 0.85154366 0.89939976]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
