Model,dataset,Morphology,Operation,Kernel Size,DPSGD,epsilon,synthetic_data,shadow_threshold
NestedUNet,DukeData,False,,,True,200.0,False,0.8253183708046422
NestedUNet,DukeData,False,,,True,200.0,False,0.8321883877118429
NestedUNet,DukeData,False,,,True,200.0,False,0.8345904530900897
NestedUNet,DukeData,True,close,3,True,200.0,False,0.817524026740681
NestedUNet,DukeData,True,open,3,True,200.0,False,0.843298715172392
NestedUNet,DukeData,True,both,3,True,200.0,False,0.8232277415015481
NestedUNet,DukeData,False,,,True,200.0,False,0.8421855839816007
NestedUNet,DukeData,False,,,True,200.0,False,0.8805605028614854
NestedUNet,DukeData,False,,,True,0.1,False,0.8215192249326995
NestedUNet,DukeData,True,close,3,True,0.1,False,0.8440433722553831
NestedUNet,DukeData,True,open,3,True,0.1,False,0.8391823335127397
NestedUNet,DukeData,True,close,3,True,200.0,False,0.8278461694717407
NestedUNet,DukeData,True,close,3,True,200.0,False,0.8147792707790028
NestedUNet,DukeData,True,both,3,True,0.1,False,0.8595094247297808
NestedUNet,DukeData,False,,,True,0.5,False,0.8605391581853231
NestedUNet,DukeData,True,close,3,True,0.5,False,0.8341893499547784
NestedUNet,DukeData,True,open,3,True,200.0,False,0.8364635633699822
NestedUNet,DukeData,True,open,3,True,200.0,False,0.8376041253407797
NestedUNet,DukeData,True,open,3,True,0.5,False,0.8278531125097564
NestedUNet,DukeData,True,both,3,True,0.5,False,0.8523301175146392
NestedUNet,DukeData,False,,,True,8.0,False,0.8632181738362168
NestedUNet,DukeData,True,both,3,True,200.0,False,0.843489388624827
NestedUNet,DukeData,True,both,3,True,200.0,False,0.8325472925648545
NestedUNet,DukeData,True,close,3,True,8.0,False,0.8218324021859602
NestedUNet,DukeData,False,,,True,0.1,False,0.8508480245416815
NestedUNet,DukeData,False,,,True,0.1,False,0.829420470830166
NestedUNet,DukeData,True,open,3,True,8.0,False,0.8363077586347406
NestedUNet,DukeData,True,close,3,True,0.1,False,0.8392222379193162
NestedUNet,DukeData,True,both,3,True,8.0,False,0.8399030674587596
NestedUNet,DukeData,True,close,3,True,0.1,False,0.8215310609701908
NestedUNet,DukeData,False,,,False,,False,0.8244603836175167
NestedUNet,DukeData,True,open,3,True,0.1,False,0.8979224544582944
NestedUNet,DukeData,True,close,3,False,,False,0.8275403687448213
NestedUNet,DukeData,True,open,3,True,0.1,False,0.8318949395960028
NestedUNet,DukeData,True,open,3,False,,False,0.8347889510068026
NestedUNet,DukeData,True,both,3,False,,False,0.8678978934432521
NestedUNet,DukeData,True,both,3,True,0.1,False,0.8374601331624117
NestedUNet,DukeData,True,both,3,True,0.1,False,0.8340802282998057
NestedUNet,DukeData,False,,,False,,False,0.9246079668854222
NestedUNet,DukeData,True,close,3,False,,False,0.8144988670493617
NestedUNet,DukeData,False,,,True,0.5,False,0.8391714222503431
NestedUNet,DukeData,False,,,True,0.5,False,0.8283016790043224
NestedUNet,DukeData,True,open,3,False,,False,0.8429597489761583
NestedUNet,DukeData,True,both,3,False,,False,0.8431316433530865
NestedUNet,DukeData,True,close,3,True,0.5,False,0.8255469004313151
NestedUNet,DukeData,True,close,3,True,0.5,False,0.8238560141939105
NestedUNet,DukeData,False,,,False,,False,0.873657530004328
NestedUNet,DukeData,True,close,3,False,,False,0.8227349483605587
NestedUNet,DukeData,True,open,3,True,0.5,False,0.8569628596305847
NestedUNet,DukeData,True,open,3,False,,False,0.8306054472923279
NestedUNet,DukeData,True,open,3,True,0.5,False,0.8516246911251184
NestedUNet,DukeData,True,both,3,False,,False,0.832084489591194
NestedUNet,DukeData,True,both,3,True,0.5,False,0.8395439241871689
NestedUNet,DukeData,False,,,False,,False,0.8431356477014946
NestedUNet,DukeData,True,both,3,True,0.5,False,0.83374843452916
