Morphology,Operation,epsilon,shadow_threshold
False,None,0.1,2.9848580712621864
False,None,0.5,2.7639895785938613
False,None,8.0,1.5319614717454622
False,None,200.0,1.0740808001296087
False,None,,0.8309881395914337
True,both,0.1,3.123632604425604
True,both,0.5,2.7083794998400137
True,both,8.0,1.4988821257244458
True,both,200.0,1.0991668556675764
True,both,,0.832035189099384
True,close,0.1,3.1365477641423545
True,close,0.5,2.840404543009671
True,close,8.0,1.5330919244072654
True,close,200.0,1.0778213920015276
True,close,,0.8289335907408685
True,open,0.1,2.9608560330940015
True,open,0.5,2.6073362755052973
True,open,8.0,1.4950662616527441
True,open,200.0,1.0771295608896196
True,open,,0.8372627758618557
