Model,dataset,Morphology,Operation,Kernel Size,DPSGD,epsilon,synthetic_data,shadow_threshold
NestedUNet,UMNData,False,,,True,200.0,False,0.25532437347564374
NestedUNet,UMNData,False,,,True,200.0,False,0.2555146973674037
NestedUNet,UMNData,True,close,3,True,200.0,False,0.2555377996769272
NestedUNet,UMNData,True,close,3,True,200.0,False,0.2552806569748566
NestedUNet,UMNData,False,,,True,200.0,False,0.25580307540773345
NestedUNet,UMNData,False,,,True,200.0,False,0.2551175769136733
NestedUNet,UMNData,False,,,True,200.0,False,0.25510373436102346
NestedUNet,UMNData,False,,,True,8.0,False,0.25990255439982696
NestedUNet,UMNData,False,,,True,200.0,False,0.25540490060293375
NestedUNet,UMNData,True,close,3,True,200.0,False,0.25729357394851554
NestedUNet,UMNData,True,open,3,True,200.0,False,0.25563561290252107
NestedUNet,UMNData,True,open,3,True,200.0,False,0.25577510818212973
NestedUNet,UMNData,False,,,True,8.0,False,0.25522588281070485
NestedUNet,UMNData,True,close,3,True,200.0,False,0.2554679450367679
NestedUNet,UMNData,True,close,3,True,8.0,False,0.25632472023242664
NestedUNet,UMNData,True,close,3,True,200.0,False,0.25548098117363555
NestedUNet,UMNData,True,open,3,True,200.0,False,0.2557784879908842
NestedUNet,UMNData,True,close,3,True,200.0,False,0.25601771173356963
NestedUNet,UMNData,True,close,3,True,8.0,False,0.25522534035834943
NestedUNet,UMNData,True,both,3,True,200.0,False,0.26073690372354846
NestedUNet,UMNData,True,open,3,True,200.0,False,0.25563664496445854
NestedUNet,UMNData,True,both,3,True,200.0,False,0.2579335477672705
NestedUNet,UMNData,False,,,True,200.0,False,0.25587956694995656
NestedUNet,UMNData,False,,,True,200.0,False,0.2554562379833029
NestedUNet,UMNData,True,open,3,True,8.0,False,0.25605800322123934
NestedUNet,UMNData,True,both,3,True,200.0,False,0.2561669432315506
NestedUNet,UMNData,True,open,3,True,200.0,False,0.2552882936321387
NestedUNet,UMNData,False,,,True,0.1,False,0.25554252735206057
NestedUNet,UMNData,True,open,3,True,8.0,False,0.256272834890029
NestedUNet,UMNData,True,both,3,True,0.1,False,0.26034148726142753
NestedUNet,UMNData,False,,,True,0.1,False,0.25584665466757384
NestedUNet,UMNData,True,both,3,True,200.0,False,0.2559822632485077
NestedUNet,UMNData,False,,,True,0.1,False,0.25562593716533244
NestedUNet,UMNData,True,open,3,True,200.0,False,0.2556777030480008
NestedUNet,UMNData,True,both,3,True,8.0,False,0.25635489270466716
NestedUNet,UMNData,False,,,True,0.1,False,0.2557152614873998
NestedUNet,UMNData,False,,,True,0.1,False,0.2553103861688566
NestedUNet,UMNData,True,both,3,True,0.1,False,0.25624154670899657
