Morphology,Operation,epsilon,shadow_threshold
False,None,0.1,0.6296714829100717
False,None,0.5,0.3142786477327621
False,None,8.0,0.27856760955145277
False,None,200.0,0.2684230392758724
False,None,,0.25729860162602797
True,both,0.1,0.6582214023797743
True,both,0.5,0.3138804828127225
True,both,8.0,0.2795103911911287
True,both,200.0,0.26909974073210063
True,both,,0.2568443451437258
True,close,0.1,0.5998761105761734
True,close,0.5,0.3140374266903006
True,close,8.0,0.2797860949794568
True,close,200.0,0.2687435425817966
True,close,,0.25830955841162234
True,open,0.1,0.6182878065974482
True,open,0.5,0.31594780791971466
True,open,8.0,0.2781402492955808
True,open,200.0,0.26829330414052927
True,open,,0.2563625677458702
